Tue Oct  2 10:06:23 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:06:23 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:06:48 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:06:48 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:12:43 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:12:43 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:12:44 2018	ccr=0.76	 iter 1
Tue Oct  2 10:12:46 2018	ccr=0.78	 iter 2
Tue Oct  2 10:12:46 2018	ccr=0.76	 iter 3
Tue Oct  2 10:12:54 2018	ccr=0.84	 iter 4
Tue Oct  2 10:12:56 2018	ccr=0.84	 iter 5
Tue Oct  2 10:12:56 2018	ccr=0.7	 iter 6
Tue Oct  2 10:13:03 2018	ccr=0.8	 iter 7
Tue Oct  2 10:13:04 2018	ccr=0.78	 iter 8
Tue Oct  2 10:13:07 2018	ccr=0.78	 iter 9
Tue Oct  2 10:13:08 2018	ccr=0.72	 iter 10
Tue Oct  2 10:13:09 2018	ccr=0.76	 iter 11
Tue Oct  2 10:13:14 2018	ccr=0.78	 iter 12
Tue Oct  2 10:13:15 2018	ccr=0.8	 iter 13
Tue Oct  2 10:13:17 2018	ccr=0.8	 iter 14
Tue Oct  2 10:13:18 2018	ccr=0.82	 iter 15
Tue Oct  2 10:13:19 2018	ccr=0.74	 iter 16
Tue Oct  2 10:13:20 2018	ccr=0.84	 iter 17
Tue Oct  2 10:13:21 2018	ccr=0.8	 iter 18
Tue Oct  2 10:13:21 2018	ccr=0.78	 iter 19
Tue Oct  2 10:13:22 2018	ccr=0.78	 iter 20
Tue Oct  2 10:13:23 2018	ccr=0.8	 iter 21
Tue Oct  2 10:13:24 2018	ccr=0.74	 iter 22
Tue Oct  2 10:13:25 2018	ccr=0.8	 iter 23
Tue Oct  2 10:13:33 2018	ccr=0.68	 iter 24
Tue Oct  2 10:13:35 2018	ccr=0.82	 iter 25
Tue Oct  2 10:13:39 2018	ccr=0.76	 iter 26
Tue Oct  2 10:13:43 2018	ccr=0.8	 iter 27
